ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
269,5.5,2.4,0.7,0.7,0.535,0.502,0.344,0.535,0.344
266,7.5,2.6,1.5,0.1,0.762,0.397,0.365,0.762,0.365
274,21.1,6.2,4.1,0.1,0.908,0.499,0.418,0.908,0.418
280,4,3.5,1.4,0.4,1,0.41,0.296,1,0.296
278,3.2,2.2,0.7,0.2,0.667,0.396,0.255,0.667,0.255
131,6.8,3,0.8,0.5,0.708,0.422,0.33,0.708,0.33
291,20.7,5.1,1.9,0.1,0.75,0.472,0.426,0.75,0.426
176,12.8,6,1.2,0.9,0.798,0.435,0.346,0.798,0.346
283,9.2,3.4,1.7,0.6,0.462,0.404,0.299,0.462,0.299
246,7.4,5.6,1.3,0.9,0.797,0.448,0.383,0.797,0.383
296,0,0,0,0,,0,0,NULL,0
12,5.2,3,0.9,0.1,0.73,0.354,0.241,0.73,0.241
292,12.9,7.3,1.3,0.3,0.609,0.453,0.42,0.609,0.42
293,12,4.7,3.8,1.4,0.676,0.5,0.37,0.676,0.37
289,9.1,2.5,0.7,0.4,0.75,0.453,0.333,0.75,0.333
492,9.6,3.1,5.2,0.2,0.818,0.403,0.296,0.818,0.296
290,3.8,0.9,1.3,0.1,0.941,0.358,0.115,0.941,0.115
284,8.6,4.3,1.6,0.4,0.796,0.427,0.266,0.796,0.266
287,9,4.1,1.2,0.7,0.698,0.412,0.33,0.698,0.33
294,21.7,4.6,6.6,0.3,0.873,0.412,0.345,0.873,0.345
11,13.2,2.6,6.1,0.4,0.868,0.448,0.379,0.868,0.379
285,26.5,10.8,4.4,1.2,0.796,0.508,0.412,0.796,0.412
295,1,0.5,0,0,1,0,0,1,0
130,4.1,4,0.9,0.2,0.821,0.547,0.143,0.821,0.143
159,22.4,5.2,3.7,0.9,0.72,0.444,0.331,0.72,0.331
309,5.1,2,1.8,0.2,0.607,0.339,0.342,0.607,0.342
301,12.4,6.2,7,0.5,0.567,0.412,0.383,0.567,0.383
308,9.2,9.9,1.7,1,0.581,0.62,0.143,0.581,0.143
299,10.2,6.5,1.6,0.4,0.747,0.416,0.342,0.747,0.342
302,7.5,4,0.9,0.9,0.63,0.66,0.25,0.63,0.25
303,19.6,4.9,6.9,0.8,0.7,0.452,0.357,0.7,0.357
300,24.3,6.3,4.3,0.7,0.858,0.466,0.387,0.858,0.387
307,5.6,1.4,0.8,0.1,0.75,0.385,0.325,0.75,0.325
305,6.8,3,1.3,0.4,0.733,0.442,0.361,0.733,0.361
306,8.6,2.4,1.4,0.2,0.674,0.424,0.375,0.674,0.375
311,7.6,4.3,1.3,0.7,0.638,0.611,0.5,0.638,0.5
304,14.9,2.6,2,0.2,0.902,0.45,0.452,0.902,0.452
310,3.8,5.1,1.5,0.6,0.375,0.343,0.26,0.375,0.26
312,23.6,6.8,2.2,0.5,0.645,0.589,0.462,0.645,0.462
322,14.3,5,2.6,0.3,0.614,0.402,0.32,0.614,0.32
331,1.9,0.6,0.4,0.1,0.8,0.273,0.111,0.8,0.111
327,8.1,2.3,1.4,0.1,0.81,0.402,0.333,0.81,0.333
323,6.7,1.9,1.2,0.1,0.667,0.414,0.362,0.667,0.362
325,5.1,1.8,1.2,0.1,0.846,0.351,0.35,0.846,0.35
319,6.1,4.3,0.8,0.5,0.732,0.584,0.286,0.732,0.286
329,6.8,3.3,1.7,0.3,0.625,0.455,0.28,0.625,0.28
317,6.4,2.8,0.9,0.4,0.653,0.359,0.327,0.653,0.327
212,19.6,5.4,1.4,0.4,0.823,0.442,0.439,0.823,0.439
321,6.3,2.1,3,0.3,0.864,0.393,0.321,0.864,0.321
324,10,4.7,7.2,0.4,0.57,0.439,0.203,0.57,0.203
316,10.1,5.1,1.5,0.3,0.763,0.45,0.358,0.763,0.358
318,19.5,9.7,3.1,0.3,0.733,0.46,0.277,0.733,0.277
320,9.7,7,0.6,2,0.568,0.742,,0.568,NULL
326,5.5,2.3,2.9,0.2,0.509,0.341,0.296,0.509,0.296
328,6.5,1.2,1.2,0.2,0.791,0.481,0.358,0.791,0.358
336,10.9,9.4,2.4,1.1,0.59,0.591,0.333,0.59,0.333
339,4.5,3.7,0.5,0.7,0.681,0.383,0.3,0.681,0.3
344,2.8,1.4,0.3,0.3,0.5,0.371,0.217,0.5,0.217
343,6.1,3.2,0.6,0.2,0.622,0.452,0.2,0.622,0.2
340,4.2,1.5,0.9,0.3,0.789,0.372,0.297,0.789,0.297
337,19.2,5.5,2.1,0.1,0.886,0.439,0.409,0.886,0.409
333,19.3,6.1,3.3,0.7,0.801,0.473,0.351,0.801,0.351
342,4.6,2.3,0.8,0.3,0.818,0.403,0.358,0.818,0.358
341,6,1.9,0.7,0.4,0.774,0.455,0.371,0.774,0.371
