id,Name,Weight,Height,College,Nationality,Experience,College2
254,Goran DragiÄ‡,190,75,,SI,11,Did not attend
255,Derrick Jones Jr.,210,78,UNLV,US,3,UNLV
256,Meyers Leonard,260,84,Illinois,US,7,Illinois
257,Tyler Herro,200,77,Kentucky,US,0,Kentucky
258,Chris Silva,230,80,South Carolina,GA,0,South Carolina
259,Andre Iguodala,215,78,Arizona,US,15,Arizona
260,Jae Crowder,235,78,Marquette,US,7,Marquette
261,Solomon Hill,225,78,Arizona,US,6,Arizona
262,Gabe Vincent (TW),200,75,UC Santa Barbara,US,0,UC Santa Barbara
263,KZ Okpala,215,80,Stanford,US,0,Stanford
264,Udonis Haslem,235,80,Florida,US,16,Florida
265,Kyle Alexander (TW),222,83,Tennessee,CA,0,Tennessee
266,Wesley Matthews,220,76,Marquette,US,10,Marquette
267,Brook Lopez,270,84,Stanford,US,11,Stanford
268,Pat Connaughton,209,77,Notre Dame,US,4,Notre Dame
269,Robin Lopez,275,84,Stanford,US,11,Stanford
270,Donte DiVincenzo,203,76,Villanova,US,1,Villanova
271,Giannis Antetokounmpo,242,83,,GR,6,Did not attend
272,Eric Bledsoe,205,73,Kentucky,US,9,Kentucky
273,Ersan Ä°lyasova,235,81,,TR,11,Did not attend
274,Khris Middleton,222,79,Texas A&M,US,7,Texas A&M
275,George Hill,188,75,IUPUI,US,11,IUPUI
276,Kyle Korver,212,79,Creighton,US,16,Creighton
277,Sterling Brown,232,77,SMU,US,2,SMU
278,D.J. Wilson,231,82,Michigan,US,2,Michigan
279,Thanasis Antetokounmpo,205,78,,GR,1,Did not attend
280,Marvin Williams,237,80,UNC,US,14,UNC
281,Frank Mason III (TW),190,71,Kansas,US,2,Kansas
282,Cameron Reynolds (TW),225,79,Tulane,US,1,Tulane
283,Jarrett Culver,195,78,Texas Tech,US,0,Texas Tech
284,Josh Okogie,212,76,Georgia Tech,NG,1,Georgia Tech
285,Karl-Anthony Towns,248,83,Kentucky,US,4,Kentucky
286,Kelan Martin (TW),235,77,Butler,US,0,Butler
287,Naz Reid,264,81,LSU,US,0,LSU
288,Jordan McLaughlin (TW),170,71,USC,US,0,USC
289,Jake Layman,209,80,Maryland,US,3,Maryland
290,Jaylen Nowell,196,76,Washington,US,0,Washington
291,Malik Beasley,198,76,Florida State,US,3,Florida State
292,Juan HernangÃ³mez,220,81,,ES,3,Did not attend
293,James Johnson,240,79,Wake Forest,US,10,Wake Forest
294,D'Angelo Russell,198,76,Ohio State,US,4,Ohio State
295,Jarred Vanderbilt,214,81,Kentucky,US,1,Kentucky
296,Jacob Evans,210,76,Cincinnati,US,1,Cincinnati
297,Evan Turner,220,78,Ohio State,US,9,Ohio State
298,Omari Spellman,245,80,Villanova,US,1,Villanova
299,Josh Hart,215,77,Villanova,US,2,Villanova
300,Brandon Ingram,190,79,Duke,US,3,Duke
301,Lonzo Ball,190,78,UCLA,US,2,UCLA
302,Jaxson Hayes,220,83,Texas,US,0,Texas
303,Jrue Holiday,205,75,UCLA,US,10,UCLA
304,J.J. Redick,200,75,Duke,US,13,Duke
305,NicolÃ² Melli,235,81,,IT,0,Did not attend
306,E'Twaun Moore,191,75,Purdue,US,8,Purdue
307,Frank Jackson,205,75,Duke,US,1,Duke
308,Derrick Favors,265,81,Georgia Tech,US,9,Georgia Tech
309,Nickeil Alexander-Walker,205,77,Virginia Tech,CA,0,Virginia Tech
310,Kenrich Williams,210,78,TCU,US,1,TCU
311,Jahlil Okafor,275,82,Duke,US,4,Duke
312,Zion Williamson,285,78,Duke,US,0,Duke
313,Zylan Cheatham (TW),220,77,"San Diego State, Arizona State",US,0,"San Diego State, Arizona State"
314,Josh Gray (TW),180,72,LSU,US,1,LSU
315,Darius Miller,225,78,Kentucky,US,5,Kentucky
316,Bobby Portis,246,82,Arkansas,US,4,Arkansas
317,Kevin Knox,215,79,Kentucky,US,1,Kentucky
318,Julius Randle,250,80,Kentucky,US,5,Kentucky
319,Taj Gibson,225,81,USC,US,10,USC
320,Mitchell Robinson,223,84,Western Kentucky,US,1,Western Kentucky
321,Frank Ntilikina,190,76,,BE,2,Did not attend
322,RJ Barrett,202,78,Duke,CA,0,Duke
323,Damyean Dotson,202,77,"Oregon, Houston",US,2,"Oregon, Houston"
324,Elfrid Payton,185,75,LA-Lafayette,US,5,LA-Lafayette
325,Wayne Ellington,200,76,UNC,US,10,UNC
326,Dennis Smith Jr.,195,74,NC State,US,2,NC State
327,Reggie Bullock,200,78,UNC,US,6,UNC
328,Allonzo Trier,200,76,Arizona,US,1,Arizona
329,Maurice Harkless,220,79,St. John's,US,7,St. John's
330,Kadeem Allen (TW),200,73,Arizona,US,2,Arizona
331,Ignas Brazdeikis,216,78,Michigan,LT,0,Michigan
332,Kenny Wooten (TW),220,81,Oregon,US,0,Oregon
333,Shai Gilgeous-Alexander,181,77,Kentucky,CA,1,Kentucky
334,Dennis SchrÃ¶der,172,73,,DE,6,Did not attend
335,Chris Paul,175,73,Wake Forest,US,14,Wake Forest
336,Steven Adams,265,83,Pitt,NZ,6,Pitt
337,Danilo Gallinari,233,82,,IT,10,Did not attend
338,Nerlens Noel,220,82,Kentucky,US,5,Kentucky
339,Darius Bazley,208,80,,US,0,Did not attend
340,Terrance Ferguson,190,78,,US,2,Did not attend
341,Abdel Nader,225,77,"Northern Illinois, Iowa State",EG,2,"Northern Illinois, Iowa State"
342,Mike Muscala,240,82,Bucknell,US,6,Bucknell
343,Hamidou Diallo,202,77,Kentucky,US,1,Kentucky
344,Deonte Burton,240,76,"Marquette, Iowa State",US,1,"Marquette, Iowa State"
345,Luguentz Dort (TW),215,75,Arizona State,CA,0,Arizona State
346,Kevin Hervey (TW),230,81,UT Arlington,US,0,UT Arlington
347,Isaiah Roby,230,80,Nebraska,US,0,Nebraska
348,Andre Roberson,210,79,Colorado,US,5,Colorado
349,Markelle Fultz,200,75,Washington,US,2,Washington
350,Terrence Ross,206,78,Washington,US,7,Washington
351,Evan Fournier,205,79,,FR,7,Did not attend
352,Mo Bamba,241,84,Texas,US,1,Texas
353,Aaron Gordon,220,80,Arizona,US,5,Arizona
354,Nikola VuÄeviÄ‡,260,83,USC,CH,8,USC
355,D.J. Augustin,183,71,Texas,US,11,Texas
356,Wesley Iwundu,195,78,Kansas State,US,2,Kansas State
357,Michael Carter-Williams,190,77,Syracuse,US,6,Syracuse
358,Khem Birch,233,81,"Pitt, UNLV",CA,2,"Pitt, UNLV"
359,Jonathan Isaac,210,83,Florida State,US,2,Florida State
360,Al-Farouq Aminu,220,80,Wake Forest,US,9,Wake Forest
361,Gary Clark,225,78,Cincinnati,US,1,Cincinnati
362,Melvin Frazier,200,77,Tulane,US,1,Tulane
363,James Ennis,210,78,Cal State Long Beach,US,5,Cal State Long Beach
364,B.J. Johnson (TW),200,79,"Syracuse, La Salle",US,1,"Syracuse, La Salle"
365,Vic Law (TW),200,79,Northwestern,US,0,Northwestern
366,Tobias Harris,235,80,Tennessee,US,8,Tennessee
367,Furkan Korkmaz,190,79,,TR,2,Did not attend
368,Mike Scott,237,79,Virginia,US,7,Virginia
369,Al Horford,245,81,Florida,DO,12,Florida
370,Matisse Thybulle,200,77,Washington,US,0,Washington
371,Ben Simmons,230,82,LSU,AU,2,LSU
372,Raul Neto,179,73,,BR,4,Did not attend
373,Josh Richardson,200,77,Tennessee,US,4,Tennessee
374,Joel Embiid,250,84,Kansas,CM,3,Kansas
375,Shake Milton,207,77,SMU,US,1,SMU
376,Kyle O'Quinn,250,81,Norfolk State,US,7,Norfolk State
377,Norvel Pelle,216,82,,AG,0,Did not attend
378,Glenn Robinson III,222,78,Michigan,US,5,Michigan
379,Alec Burks,214,78,Colorado,US,8,Colorado
380,Zhaire Smith,199,75,Texas Tech,US,1,Texas Tech
381,Marial Shayok (TW),196,77,"Virginia, Iowa State",CA,0,"Virginia, Iowa State"
382,Mikal Bridges,210,78,Villanova,US,1,Villanova
383,Devin Booker,210,77,Kentucky,US,4,Kentucky
384,Dario Å ariÄ‡,225,82,,HR,3,Did not attend
385,Ricky Rubio,190,75,,ES,8,Did not attend
386,Kelly Oubre Jr.,205,79,Kansas,US,4,Kansas
387,Elie Okobo,190,75,,FR,1,Did not attend
388,Jevon Carter,195,73,West Virginia,US,1,West Virginia
389,Cameron Johnson,205,80,"Pitt, UNC",US,0,"Pitt, UNC"
390,Cheick Diallo,220,80,Kansas,ML,3,Kansas
391,Aron Baynes,260,82,Washington State,NZ,7,Washington State
392,Frank Kaminsky,240,84,Wisconsin,US,4,Wisconsin
393,Deandre Ayton,250,83,Arizona,BS,1,Arizona
394,Ty Jerome,195,77,Virginia,US,0,Virginia
395,Jalen Lecque,185,75,,US,0,Did not attend
396,Tariq Owens (TW),205,82,"Tennessee, St. John's, Texas Tech",US,0,"Tennessee, St. John's, Texas Tech"
397,Anfernee Simons,181,75,,US,1,Did not attend
398,CJ McCollum,197,75,Lehigh,US,6,Lehigh
399,Hassan Whiteside,235,84,Marshall,US,7,Marshall
400,Damian Lillard,195,74,Weber State,US,7,Weber State
401,Gary Trent Jr.,209,77,Duke,US,1,Duke
402,Carmelo Anthony,240,80,Syracuse,US,16,Syracuse
